,town,year,Price/sqm (S$),Latitude,Longitude,transaction_count,scale,Distance from city center in km
5,Ang Mo Kio,2005,2574,1.3715046368772066,103.84404963255848,1706,3667.5230504093065,9.025535374942375
6,Ang Mo Kio,2006,2564,1.3715046368772066,103.84404963255848,1565,3363.7746660922016,9.025535374942375
7,Ang Mo Kio,2007,2785,1.3715046368772066,103.84404963255848,1308,2810.133993968117,9.025535374942375
8,Ang Mo Kio,2008,3538,1.3715046368772066,103.84404963255848,1378,2960.931064196467,9.025535374942375
9,Ang Mo Kio,2009,3817,1.3715046368772066,103.84404963255848,1491,3204.360620422232,9.025535374942375
10,Ang Mo Kio,2010,4267,1.3715046368772066,103.84404963255848,1727,3712.762171477811,9.025535374942375
11,Ang Mo Kio,2011,4807,1.3715046368772066,103.84404963255848,1127,2420.2158552348124,9.025535374942375
12,Ang Mo Kio,2012,5134,1.3715046368772066,103.84404963255848,1123,2411.5988797931927,9.025535374942375
13,Ang Mo Kio,2013,5386,1.3715046368772066,103.84404963255848,784,1681.3102111158983,9.025535374942375
14,Ang Mo Kio,2014,5100,1.3715046368772066,103.84404963255848,800,1715.7781128823783,9.025535374942375
15,Ang Mo Kio,2015,4899,1.3715046368772066,103.84404963255848,904,1939.819474364498,9.025535374942375
16,Ang Mo Kio,2016,4880,1.3715046368772066,103.84404963255848,947,2032.451960361913,9.025535374942375
17,Ang Mo Kio,2017,4825,1.3715046368772066,103.84404963255848,942,2021.680741059888,9.025535374942375
18,Ang Mo Kio,2018,4542,1.3715046368772066,103.84404963255848,1014,2176.786299009048,9.025535374942375
19,Ang Mo Kio,2019,4482,1.3715046368772066,103.84404963255848,954,2047.5316673847478,9.025535374942375
20,Ang Mo Kio,2020,4520,1.3715046368772066,103.84404963255848,997,2140.164153382163,9.025535374942375
21,Ang Mo Kio,2021,4929,1.3715046368772066,103.84404963255848,1055,2265.110297285653,9.025535374942375
22,Ang Mo Kio,2022,6328,1.3715046368772066,103.84404963255848,1026,2202.6372253339077,9.025535374942375
29,Bedok,2005,2508,1.3277939734869995,103.92882306446648,1947,4186.69582076691,9.507424665981109
30,Bedok,2006,2493,1.3277939734869995,103.92882306446648,1812,3895.872899612236,9.507424665981109
31,Bedok,2007,2686,1.3277939734869995,103.92882306446648,1626,3495.1835415769065,9.507424665981109
32,Bedok,2008,3317,1.3277939734869995,103.92882306446648,1526,3279.7591555364065,9.507424665981109
33,Bedok,2009,3629,1.3277939734869995,103.92882306446648,1792,3852.788022404136,9.507424665981109
34,Bedok,2010,4105,1.3277939734869995,103.92882306446648,2147,4617.54459284791,9.507424665981109
35,Bedok,2011,4621,1.3277939734869995,103.92882306446648,1338,2874.7613097802673,9.507424665981109
36,Bedok,2012,5026,1.3277939734869995,103.92882306446648,1390,2986.781990521327,9.507424665981109
37,Bedok,2013,5136,1.3277939734869995,103.92882306446648,1117,2398.6734166307624,9.507424665981109
38,Bedok,2014,4893,1.3277939734869995,103.92882306446648,1122,2409.4446359327876,9.507424665981109
39,Bedok,2015,4620,1.3277939734869995,103.92882306446648,1216,2611.943558810857,9.507424665981109
40,Bedok,2016,4562,1.3277939734869995,103.92882306446648,1226,2633.485997414907,9.507424665981109
41,Bedok,2017,4588,1.3277939734869995,103.92882306446648,1148,2465.4549763033174,9.507424665981109
42,Bedok,2018,4489,1.3277939734869995,103.92882306446648,1138,2443.9125376992674,9.507424665981109
43,Bedok,2019,4301,1.3277939734869995,103.92882306446648,1147,2463.3007324429127,9.507424665981109
44,Bedok,2020,4346,1.3277939734869995,103.92882306446648,1315,2825.213700990952,9.507424665981109
45,Bedok,2021,4771,1.3277939734869995,103.92882306446648,1616,3473.6411029728565,9.507424665981109
46,Bedok,2022,5166,1.3277939734869995,103.92882306446648,1367,2937.234381732012,9.507424665981109
53,Bishan,2005,2813,1.3537974954992564,103.84349153797791,640,1371.0990952175787,7.087470372125103
54,Bishan,2006,2833,1.3537974954992564,103.84349153797791,648,1388.3330461008186,7.087470372125103
55,Bishan,2007,3190,1.3537974954992564,103.84349153797791,584,1250.4614390348988,7.087470372125103
56,Bishan,2008,3958,1.3537974954992564,103.84349153797791,602,1289.2378285221887,7.087470372125103
57,Bishan,2009,4101,1.3537974954992564,103.84349153797791,680,1457.2688496337785,7.087470372125103
58,Bishan,2010,4528,1.3537974954992564,103.84349153797791,738,1582.2149935372684,7.087470372125103
59,Bishan,2011,4891,1.3537974954992564,103.84349153797791,427,912.2451529513141,7.087470372125103
60,Bishan,2012,5265,1.3537974954992564,103.84349153797791,411,877.7772511848341,7.087470372125103
61,Bishan,2013,5574,1.3537974954992564,103.84349153797791,292,621.4222317966394,7.087470372125103
62,Bishan,2014,5335,1.3537974954992564,103.84349153797791,283,602.0340370529944,7.087470372125103
63,Bishan,2015,5514,1.3537974954992564,103.84349153797791,311,662.3528651443344,7.087470372125103
64,Bishan,2016,5598,1.3537974954992564,103.84349153797791,374,798.0702283498492,7.087470372125103
65,Bishan,2017,5841,1.3537974954992564,103.84349153797791,446,953.175786299009,7.087470372125103
66,Bishan,2018,5761,1.3537974954992564,103.84349153797791,405,864.8517880224041,7.087470372125103
67,Bishan,2019,5671,1.3537974954992564,103.84349153797791,417,890.7027143472641,7.087470372125103
68,Bishan,2020,5598,1.3537974954992564,103.84349153797791,448,957.484274019819,7.087470372125103
69,Bishan,2021,5970,1.3537974954992564,103.84349153797791,570,1220.3020249892288,7.087470372125103
70,Bishan,2022,6558,1.3537974954992564,103.84349153797791,465,994.106419646704,7.087470372125103
77,Bukit Batok,2005,2270,1.3538725166561387,103.74994862062468,1390,2986.781990521327,13.354607658113295
78,Bukit Batok,2006,2250,1.3538725166561387,103.74994862062468,1266,2719.6557518311074,13.354607658113295
79,Bukit Batok,2007,2397,1.3538725166561387,103.74994862062468,1126,2418.0616113744077,13.354607658113295
80,Bukit Batok,2008,3033,1.3538725166561387,103.74994862062468,1305,2803.671262386902,13.354607658113295
81,Bukit Batok,2009,3299,1.3538725166561387,103.74994862062468,1441,3096.6484274019817,13.354607658113295
82,Bukit Batok,2010,3750,1.3538725166561387,103.74994862062468,1540,3309.9185695820765,13.354607658113295
83,Bukit Batok,2011,4308,1.3538725166561387,103.74994862062468,944,2025.9892287806979,13.354607658113295
84,Bukit Batok,2012,4577,1.3538725166561387,103.74994862062468,1025,2200.4829814735026,13.354607658113295
85,Bukit Batok,2013,4797,1.3538725166561387,103.74994862062468,627,1343.0939250323136,13.354607658113295
86,Bukit Batok,2014,4396,1.3538725166561387,103.74994862062468,620,1328.0142180094788,13.354607658113295
87,Bukit Batok,2015,4187,1.3538725166561387,103.74994862062468,741,1588.6777251184833,13.354607658113295
88,Bukit Batok,2016,4178,1.3538725166561387,103.74994862062468,760,1629.6083584661783,13.354607658113295
89,Bukit Batok,2017,3958,1.3538725166561387,103.74994862062468,736,1577.9065058164583,13.354607658113295
90,Bukit Batok,2018,3844,1.3538725166561387,103.74994862062468,841,1804.1021111589832,13.354607658113295
91,Bukit Batok,2019,3645,1.3538725166561387,103.74994862062468,874,1875.192158552348,13.354607658113295
92,Bukit Batok,2020,3858,1.3538725166561387,103.74994862062468,686,1470.1943127962086,13.354607658113295
93,Bukit Batok,2021,4469,1.3538725166561387,103.74994862062468,752,1612.3744075829384,13.354607658113295
94,Bukit Batok,2022,5080,1.3538725166561387,103.74994862062468,886,1901.043084877208,13.354607658113295
101,Bukit Merah,2005,2899,1.283434696182007,103.82416680925908,1092,2344.8173201206378,3.184043551148501
102,Bukit Merah,2006,2972,1.283434696182007,103.82416680925908,1103,2368.514002585093,3.184043551148501
103,Bukit Merah,2007,3466,1.283434696182007,103.82416680925908,1070,2297.4239551917276,3.184043551148501
104,Bukit Merah,2008,4297,1.283434696182007,103.82416680925908,1077,2312.5036622145626,3.184043551148501
105,Bukit Merah,2009,4637,1.283434696182007,103.82416680925908,1106,2374.976734166308,3.184043551148501
